observation_start_date,observation_end_date,county_name,cbsa_name,cbsa_type,area_id,cbsa_id,inflow,outflow,income_diff,lat,lon
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006702,33100,247,148,8952.7,25.75717505987015,-80.20158383124965
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086018600,33100,44,117,-19460.7,25.67782265895886,-80.427561817222028
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006002,33100,92,35,-22570.1,25.739133986009922,-80.3082196723591
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086004607,33100,44,27,55318.6,25.690335789483758,-80.158989004130163
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006713,33100,0,47,,25.761336304232866,-80.1903115059996
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086002003,33100,18,0,333.0,25.828709425682376,-80.201332495176146
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086002900,33100,48,44,4596.2,25.798763558736834,-80.214717888484287
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086008701,33100,74,42,8986.3,25.722228003934557,-80.3771970717982
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086013000,33100,36,67,5524.7,25.887829449599309,-80.335765614902741
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003915,33100,54,18,15371.1,25.852898883704277,-80.132520972269731
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086005701,33100,87,110,11213.5,25.77413761003822,-80.2967768644815
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086016000,33100,64,19,13205.5,25.721677999329732,-80.419387535520826
